Ranking,Fund Short Name,Fund Company,Dummy,Lastest NAV,Dummy,Recent Month Return,Dummy,Annalized Return,Dummy,Cumulative Return,Sharpe Ratio,Year Rating,Investment Strategy
187,平安信托·黄金优选33期,平安信托有限,17.5303%,75.7600,17.5303%,-1.7890%,17.5303%,16.2676%,17.5303%,-24.2400%,,,
188,中融-承源9号证券投资集,中融国际信托,5.6204%,0.7780,5.6204%,2.9101%,5.6204%,4.6543%,5.6204%,-22.2000%,,,
189,外贸信托·尊嘉ALPHA,中国对外经济,-2.2100%,1.1726,-2.2100%,0.2137%,-2.2100%,-2.7534%,-2.2100%,17.2600%,,,
190,外贸信托·锐进12期鼎萨,中国对外经济,-0.1875%,1.0112,-0.1875%,-3.5850%,-0.1875%,-1.9490%,-0.1875%,1.1200%,,,
191,外贸信托·锐进12期鼎萨,中国对外经济,-0.1875%,1.0112,-0.1875%,-3.5850%,-0.1875%,-1.9490%,-0.1875%,1.1200%,,,
192,华润信托·重阳尊享L期集,华润深国投信,16.0525%,1.3606,16.0525%,3.3027%,16.0525%,--,16.0525%,36.0600%,,,
193,华润信托·民森尊享P期集,华润深国投信,20.5138%,0.9288,20.5138%,3.3493%,20.5138%,17.5845%,20.5138%,-7.1200%,,,
194,平安财富·对冲精英之灵均,平安信托有限,-2.2081%,128.8800,-2.2081%,0.9478%,-2.2081%,-1.4754%,-2.2081%,28.8800%,,,
195,外贸信托·星石尊享M期集,中国对外经济,21.9683%,1.6384,21.9683%,4.5698%,21.9683%,18.6816%,21.9683%,63.8400%,,,
196,平安财富·黄金优选26期,平安信托有限,9.0597%,130.2500,9.0597%,2.4622%,9.0597%,12.3038%,9.0597%,30.2500%,,,
197,平安财富·黄金优选11期,平安信托有限,13.0788%,118.1900,13.0788%,6.6119%,13.0788%,4.2332%,13.0788%,18.1900%,,,
198,外贸信托·锐进12期鼎萨,中国对外经济,-0.1860%,0.8050,-0.1860%,-3.5813%,-0.1860%,-1.9488%,-0.1860%,-19.5000%,,,
199,外贸信托·锐进系列淡水泉,中国对外经济,35.2168%,1.3999,35.2168%,5.4221%,35.2168%,29.7044%,35.2168%,40.0040%,,,
200,外贸信托·锐进系列淡水泉,中国对外经济,35.2168%,1.3999,35.2168%,--,35.2168%,--,35.2168%,39.9900%,,,
201,外贸信托·锐进25期盈信,中国对外经济,43.8341%,1.4113,43.8341%,4.2396%,43.8341%,38.3356%,43.8341%,41.1300%,,,
202,平安财富·黄金优选28期,平安信托有限,26.1672%,116.2000,26.1672%,8.2441%,26.1672%,21.1552%,26.1672%,16.2000%,,,
203,平安财富·黄金优选13期,平安信托有限,22.3931%,113.0300,22.3931%,4.5509%,22.3931%,19.4568%,22.3931%,13.0300%,,,
204,外贸信托·朱雀灵活阿尔法,中国对外经济,3.4878%,1.1008,3.4878%,0.1729%,3.4878%,2.9844%,3.4878%,10.0800%,,,
205,外贸信托·锐进16期中欧,中国对外经济,21.5556%,1.1893,21.5556%,4.1966%,21.5556%,17.6127%,21.5556%,18.9300%,,,
206,华润信托·景林丰收证券投,华润深国投信,46.3102%,621.3500,46.3102%,8.2604%,46.3102%,47.5786%,46.3102%,521.3500%,,,
207,平安财富·投资精英之尚雅,平安信托有限,26.2022%,87.1300,26.2022%,6.6854%,26.2022%,17.4259%,26.2022%,-12.8700%,,,
208,外贸信托·尊嘉ALPHA,中国对外经济,-2.2080%,1.5856,-2.2080%,0.2149%,-2.2080%,-2.7538%,-2.2080%,58.5600%,,,
209,平安信托·黄金优选10期,平安信托有限,12.3684%,231.6700,12.3684%,2.3232%,12.3684%,11.8206%,12.3684%,131.6700%,,,
210,平安信托·金蕴12期(泽,平安信托有限,59.7442%,283.5300,59.7442%,8.5906%,59.7442%,41.8785%,59.7442%,183.5300%,,,
211,平安信托·黄金优选1期1,平安信托有限,31.0527%,330.0300,31.0527%,4.3441%,31.0527%,25.4390%,31.0527%,230.0300%,,,
212,华润信托·创赢2号集合资,华润深国投信,15.4388%,162.1800,15.4388%,1.0153%,15.4388%,13.8345%,15.4388%,62.1800%,,,
213,平安财富·明曜启明1期集,平安信托有限,22.2447%,181.0200,22.2447%,2.5783%,22.2447%,16.0906%,22.2447%,81.0200%,,,
214,外贸信托·金锝量化套利集,中国对外经济,-0.3836%,1.5323,-0.3836%,-0.0457%,-0.3836%,-3.3188%,-0.3836%,53.2300%,,,
215,平安信托·鸿蕴1期(通晟,平安信托有限,3.7382%,102.4000,3.7382%,-2.6708%,3.7382%,--,3.7382%,2.4000%,,,
216,外贸信托·朱雀漂亮阿尔法,中国对外经济,-0.4403%,1.1307,-0.4403%,-0.0177%,-0.4403%,-0.7548%,-0.4403%,13.0700%,,,
217,平安财富·对冲精英之睿策,平安信托有限,23.5851%,131.8900,23.5851%,0.5566%,23.5851%,22.6199%,23.5851%,31.8900%,,,
218,平安财富·对冲精英之睿策,平安信托有限,22.3346%,185.0800,22.3346%,0.5432%,22.3346%,21.4117%,22.3346%,85.0800%,,,
219,华鑫信托·智选10号证券,华鑫国际信托,2.6653%,1.0169,2.6653%,--,2.6653%,--,2.6653%,1.6900%,,,
220,华鑫信托·华昇70号集合,华鑫国际信托,-4.1400%,0.9586,-4.1400%,--,-4.1400%,--,-4.1400%,-4.1400%,,,
221,包杨沙漠之狐私募证券投资,上海汤问资产,25.0600%,1.2506,25.0600%,--,25.0600%,--,25.0600%,25.0600%,,,
222,华鑫信托·智选20号证券,华鑫国际信托,15.6616%,1.1565,15.6616%,--,15.6616%,--,15.6616%,15.6500%,,,
223,外贸信托·专享债券2号F,中国对外经济,2.0026%,1.0187,2.0026%,-0.0687%,2.0026%,--,2.0026%,1.8700%,,,
224,中信·高毅晓峰尊享K期证,中信信托有限,45.3502%,1.4442,45.3502%,8.0422%,45.3502%,--,45.3502%,44.4200%,,,
225,中信·和聚目标证券投资集,中信信托有限,2.7482%,1.0319,2.7482%,-0.5781%,2.7482%,--,2.7482%,3.1900%,,,
226,通和阳光专享1期私募证券,大连通和投资,11.4000%,1.1140,11.4000%,--,11.4000%,--,11.4000%,11.4000%,,,
227,华润信托·景林精选2号集,华润深国投信,61.3200%,1.6132,61.3200%,9.1697%,61.3200%,--,61.3200%,61.3200%,,,
228,问道天下-宏观对冲1号私,北京问道天下,19.7984%,1.0060,19.7984%,-0.0993%,19.7984%,--,19.7984%,19.3000%,,,
229,博健精选2号私募基金,汕头市博健投,3.6000%,1.0360,3.6000%,-0.4803%,3.6000%,--,3.6000%,3.6000%,,,
230,华安瑞成对冲7号私募基金,华安瑞成（北,-7.1000%,0.9290,-7.1000%,-2.9258%,-7.1000%,--,-7.1000%,-7.1000%,,,
231,冲和七号九期私募基金,北京冲和资产,1.2000%,1.0120,1.2000%,-0.6869%,1.2000%,--,1.2000%,1.2000%,,,
232,乾道慧鑫3号私募证券投资,珠海乾道投资,18.5500%,1.1855,18.5500%,0.6367%,18.5500%,--,18.5500%,18.5500%,,,
233,华润信托·展博投资尊享系,华润深国投信,24.2997%,0.9008,24.2997%,5.4307%,24.2997%,15.3541%,24.2997%,-9.9200%,,,
234,泰创量化对冲一号基金,北京泰创投资,-2.5524%,1.0690,-2.5524%,0.5644%,-2.5524%,0.3756%,-2.5524%,6.9000%,,,
235,外贸信托·大成创新资本灵,中国对外经济,12.5843%,1.0181,12.5843%,4.0576%,12.5843%,12.4600%,12.5843%,1.8100%,,,
236,鹰傲绝对价值基金,广州鹰傲投资,30.7628%,1.5600,30.7628%,8.0332%,30.7628%,32.0914%,30.7628%,56.0000%,,,
237,华润信托·景林稳健浦慧系,华润深国投信,61.2695%,160.0600,61.2695%,9.1591%,61.2695%,58.5537%,61.2695%,60.0600%,,,
238,外贸信托·锐进26期远策,中国对外经济,30.8245%,0.9473,30.8245%,--,30.8245%,--,30.8245%,-5.2700%,,,
239,外贸信托·鸿道尊享AJ期,中国对外经济,21.3562%,0.8626,21.3562%,--,21.3562%,--,21.3562%,-13.7400%,,,
240,外贸信托·锐进25期盈信,中国对外经济,43.8341%,1.4113,43.8341%,4.2396%,43.8341%,38.3356%,43.8341%,41.1300%,,,
241,华润信托·展博投资尊享系,华润深国投信,24.2853%,0.8347,24.2853%,5.4314%,24.2853%,15.3538%,24.2853%,-16.5300%,,,
242,宁聚稳进证券投资基金,宁波宁聚资产,-3.0277%,1.1210,-3.0277%,0.7188%,-3.0277%,-0.4440%,-3.0277%,13.0000%,,,
243,伏明转型成长一期私募证券,上海伏明资产,-10.1880%,0.9124,-10.1880%,4.2505%,-10.1880%,-11.4948%,-10.1880%,-8.7600%,,,
244,联联白羊优选策略,上海联联资产,-13.4342%,0.9440,-13.4342%,-0.1798%,-13.4342%,-10.2320%,-13.4342%,-5.6000%,,,
245,平安财富·呈瑞益升集合资,平安信托有限,5.5964%,97.5500,5.5964%,0.6396%,5.5964%,0.9521%,5.5964%,-2.4500%,,,
246,以太投资进取19号私募基,青岛以太投资,9.0100%,1.0901,9.0100%,--,9.0100%,--,9.0100%,9.0100%,,,
247,中信·常春藤目标尊享D期,中信信托有限,14.4561%,1.1322,14.4561%,3.7954%,14.4561%,11.6018%,14.4561%,13.2200%,,,
248,中信·定增基金投资2号证,中信信托有限,-43.6600%,0.5634,-43.6600%,-0.2655%,-43.6600%,--,-43.6600%,-43.6600%,,,
249,外贸信托·尚雅尊享M期集,中国对外经济,8.1774%,0.6879,8.1774%,2.3965%,8.1774%,5.0871%,8.1774%,-31.2100%,,,
250,平安财富·黄金优选17期,平安信托有限,17.6884%,68.7300,17.6884%,-1.7160%,17.6884%,16.5706%,17.6884%,-31.2700%,,,
